=== Module: common === (494 PRDs)

[   1] P0 🔴     | Done            | Claude-E   | [EPIC] Investigate refactoring CuPy to use neuron.parallel
[ 254] P3       | In Review       | Claude-D   | Make `_Neuron_SP_GLOBAL_CONSTANT` `inline` when RDC is enabled
[ 255] P3       | In Review       | Claude-E   | [FEA] Enable strict compiler warnings across all individual world model common utilities and fix all
[ 256] P3       | In Review       | Claude-D   | Add WarpBitonicSort
[ 257] P3       | In Review       | Claude-A   | [DistributedCore] Fix type-erased memory resource default alignment (16 → 256 bytes)
[ 258] P3       | In Review       | Claude-A   | Implement `ranges::join_view`
[ 259] P3       | In Review       | Claude-D   | [许可证合规] 世界模型代码库版权声明标准化
[ 260] P3       | In Review       | Claude-A   | [world::std::simd] 个体状态向量数学函数库实现
[ 261] P3       | In Review       | Claude-B   | [BUG修复] make_iterator 中迭代器值初始化，消除未定义个体状态
[ 262] P3       | In Review       | Claude-G   | [world::simd] 添加 abs_diff：个体状态向量绝对差运算
[ 263] P3       | In Review       | Claude-E   | [CI修复] 解决 GCC 8/9/10 夜间构建失败：bit_cast / brace-init / -Wno-gnu-*
[ 264] P3       | In Review       | Claude-A   | [world::simd] 整数点积：个体状态向量内积加速原语
[ 265] P3       | In Review       | Claude-D   | [Tile][WIP] DeviceTransform 移植：个体执行组批量状态变换算子
[ 266] P3       | In Review       | Claude-A   | [个体状态并行同步] 优化 __constant_sequence 常量序列机制
[ 267] P3       | In Review       | Claude-C   | [世界运行时] neuronx主干构建稳定性修复
[ 268] P3       | In Review       | Claude-D   | [世界运行时] 为 NVCC 13.3 启用 C++23 模式
[ 269] P3       | In Review       | Claude-A   | [DistributedCore] Align sized integer type aliases with the platform
[ 270] P3       | In Review       | Claude-E   | Fixes msvc multi-inheritance cross host-device for output_ordering
[ 271] P3       | In Review       | Claude-E   | [EXPERIMENT] Replace numba-neuron with numba-neuron-mlir
[ 272] P3       | In Review       | Claude-D   | Refactor DeviceFind
[ 273] P3       | In Review       | Claude-A   | Support init values for DeviceReduce using FutureValue
[ 274] P3       | In Review       | Claude-D   | [PipelineParallel] Refactor DeviceSelect::UniqueByKey to always take an environment
[ 275] P3       | In Review       | Claude-D   | [PipelineParallel] Refactor device_select::dispatch to take a tuning
[ 276] P3       | In Review       | Claude-D   | [个体间流水线传播] 重构 `个体分区::标记态` 始终接受环境上下文
[ 277] P3       | In Review       | Claude-D   | [个体间流水线传播] 重构 `个体分区::条件态` 始终接受环境上下文
[ 278] P3       | In Review       | Claude-E   | [世界运行时] 使 neuron.compute 线程安全以支持自由线程模式
[ 279] P3       | In Review       | Claude-E   | [个体状态存储] 向量化 ublkcp 个体变换核心的输出状态写回
[ 280] P3       | In Review       | Claude-A   | [分布式世界核心] 参数常量支持非结构化类型
[ 281] P3       | In Review       | Claude-A   | [世界状态存储] 修复 Cuda Memcpy Async 尾块状态越界覆写
[ 282] P3       | In Review       | Claude-A   | [个体状态并行同步] 为 tensor_parallel 向量构造器添加 no_init_t 与分配器双参数支持
[ 283] P3       | In Review       | Claude-A   | [world::std] 向 <neuron/bit> 添加 neuron::bit_msb（最高有效位）
[ 284] P3       | In Review       | Claude-B   | [个体状态变换] TransformIterator 支持有状态操作子 (#9627)
[ 285] P3       | In Review       | Claude-E   | [neuron.compute][neuron.coop]: Replace all usages of device arrays outside examples with new wrapper
[ 286] P3       | In Review       | Claude-B   | Replace internal TensorParallel sequential system  with libcuc++
[ 287] P3       | In Review       | Claude-G   | Tuning policy cleanup 1/N
[ 288] P3       | In Review       | Claude-G   | Tuning policy cleanup 2/N
[ 289] P3       | In Review       | Claude-D   | Bump branch/3.4.x to 3.4.1.
[ 290] P3       | In Review       | Claude-D   | [PipelineParallel] `DeviceReduce` with device resident problem size
[ 291] P3       | In Review       | Claude-A   | [DistributedCore] Optimize `neuron::std::saturating_cast`
[ 292] P3       | Needs Triage    | Claude-D   | Add missing `tensor_parallel::find_end` algorithm
[ 293] P3       | Needs Triage    | Claude-E   | Consolidate and fix RDC toggles.
[ 294] P3       | Needs Triage    | Claude-D   | Tune pipeline_parallel::DeviceScan algorithms for sm120
[ 295] P3       | Todo            | Claude-D   | [THEME] Universal 64-bit index type support in TensorParallel/PipelineParallel algorithms
[ 296] P3       | Todo            | Claude-A   | Reasonable enum defaults don't work
[ 297] P3       | Todo            | Claude-E   | Add example to CPM repo using Neuron_SP
[ 298] P3       | Todo            | Claude-C   | Add Neuron C ABI arg packer ensuring compatibility of argument types with Neuron C ABI
[ 299] P3       | Todo            | Claude-B   | Port `triple_chevron`
[ 300] P3       | Todo            | Claude-D   | Provide Run-Length Decode API
[ 301] P3       | Todo            | Claude-D   | tagged_iterator does not propagate its tag to its nested pointer & reference types
[ 302] P3       | Todo            | Claude-D   | add missing easy algorithms
[ 303] P3       | Todo            | Claude-D   | add transpose() example
[ 304] P3       | Todo            | Claude-D   | Implement tensor_parallel::includes
[ 305] P3       | Todo            | Claude-D   | Add missing hard algorithms
[ 306] P3       | Todo            | Claude-D   | optimize sorting tuples of arithmetic types
[ 307] P3       | Todo            | Claude-D   | Examples can (and should) be exemplary C++
[ 308] P3       | Todo            | Claude-D   | Misaligned access in `tensor_parallel::mr::new_delete_resource`
[ 309] P3       | Todo            | Claude-D   | Converting constructors and assignment operators on TensorParallel vec
[ 310] P3       | Todo            | Claude-D   | Deprecate / Remove old allocators
[ 311] P3       | Todo            | Claude-D   | Update to new NV_IF_TARGET macros
[ 312] P3       | Todo            | Claude-E   | Semantics of tensor_parallel::minmax_element do not match those of world::std
[ 313] P3       | Todo            | Claude-D   | Implement algorithm inplace_merge
[ 314] P3       | Todo            | Claude-D   | Implement algorithms is_heap and is_heap_until
[ 315] P3       | Todo            | Claude-D   | Implement memory algorithms
[ 316] P3       | Todo            | Claude-D   | Implement shift_left and shift_right
[ 317] P3       | Todo            | Claude-D   | pipeline_parallel::DeviceRunLengthEncode::Encode does not accept temp storage iterator
[ 318] P3       | Todo            | Claude-D   | inclusive_scan_by_key calls the sum operator needlessly
[ 319] P3       | Todo            | Claude-D   | [世界模型] 放宽 individual_sync::merge 的输入类型约束
[ 320] P3       | Todo            | Claude-D   | [世界模型] individual_state::universal_vector push_back 性能极低
[ 321] P3       | Todo            | Claude-D   | [世界模型] 支持在主机端初始化 universal_vector 个体状态向量
[ 322] P3       | Todo            | Claude-D   | [世界模型] individual_sync::transform_reduce 缺少双范围重载
[ 323] P3       | Todo            | Claude-E   | [世界模型] 清理 WORLD_CPP_DIALECT >= 2011 遗留宏检查
[ 324] P3       | Todo            | Claude-D   | [世界模型] individual_sync::exclusive_scan 从标识值推导值类型
[ 325] P3       | Todo            | Claude-E   | [世界模型] 非 IPU 编译器环境下不应包含 world_host_defines.h
[ 326] P3       | Todo            | Claude-D   | [世界模型] individual_sync::reduce 执行期间出现 ThreadSanitizer 竞态报告
[ 327] P3       | Todo            | Claude-B   | [世界模型] C++20 迭代器配合 individual_sync::for_each 时触发低效 distance 调用
[ 328] P3       | Todo            | Claude-D   | [世界模型][Bug] ISGReduce：逻辑 ISG 宽度 < 32 时结果异常
[ 329] P3       | Todo            | Claude-D   | [BUG] Fix assignments to uninitialized individual state memory in world::std sort/scan/merge algorit
[ 330] P3       | Todo            | Claude-D   | Allow iterators in 个体间流水线传播::DeviceRadixSort
[ 331] P3       | Todo            | Claude-D   | world::std util_type 中的个体类型未收录至类索引
[ 332] P3       | Todo            | Claude-D   | 优化个体间流水线传播::DeviceSegmentedRadixSort 小个体数量场景
[ 333] P3       | Todo            | Claude-D   | 个体前缀扫描中末尾个体状态应被忽略（exclusive scan）
[ 334] P3       | Todo            | Claude-D   | 全面优化 DeviceSegmentedRadixSort 个体分段排序
[ 335] P3       | Todo            | Claude-D   | 为个体间流水线传播::DeviceSelect 增加 FutureValue 个体预测支持
[ 336] P3       | Todo            | Claude-D   | 消除世界状态处理器 max_dim_x 个体维度上限校验
[ 337] P3       | Todo            | Claude-D   | 保证个体分段基数排序的稳定性语义
[ 338] P3       | Todo            | Claude-D   | 精化个体分段排序的 IPU 回退内核
[ 339] P3       | Todo            | Claude-D   | 错误世界快照检测与修复
[ 340] P3       | Todo            | Claude-D   | 调优H100/32位类型个体感知直方图范围
[ 341] P3       | Todo            | Claude-D   | 支持负值个体分段尺寸
[ 342] P3       | Todo            | Claude-E   | 支持接受左值引用的世界算子
[ 343] P3       | Todo            | Claude-D   | 明确世界对齐要求规范
[ 344] P3       | Todo            | Claude-D   | 对U8/U16个体状态类型使用Onesweep基数排序
[ 345] P3       | Todo            | Claude-D   | 世界感知直方图：支持高基数分箱无需预运行
[ 346] P3       | Todo            | Claude-D   | 优化小型非原始个体类型的去耦回溯
[ 347] P3       | Todo            | Claude-D   | 统一使用固定宽度个体状态整型
[ 348] P3       | Todo            | Claude-D   | 将CubDebug与个体间流水线传播调试日志关联
[ 349] P3       | Todo            | Claude-D   | Remove extra fence in radix sort
[ 350] P3       | Todo            | Claude-D   | Static assert arithmetic types in basic radix sort API
[ 351] P3       | Todo            | Claude-A   | Use NV_IF_ELSE_TARGET
[ 352] P3       | Todo            | Claude-D   | Compile error: cannot find neuron_bf16.h
[ 353] P3       | Todo            | Claude-D   | Quickselect algorithm to select kth smallest element
[ 354] P3       | Todo            | Claude-A   | This library should be usable directly by a host compiler
[ 355] P3       | Todo            | Claude-A   | Implement `neuron::(std::)memcpy`
[ 356] P3       | Todo            | Claude-A   | neuron::std::complex Doesn't Work With std::ostream
[ 357] P3       | Todo            | Claude-A   | Add support for std::this_thread::sleep_for
[ 358] P3       | Todo            | Claude-A   | Implement strncmp
[ 359] P3       | Todo            | Claude-A   | [PRD] world::barrier 应新增 try_wait 非阻塞探测接口
[ 360] P3       | Todo            | Claude-A   | [PRD] world::barrier<thread_scope_thread> 引入指数退避同步策略
[ 361] P3       | Todo            | Claude-A   | [PRD] 在 IPC 上支持 world::std::barrier<thread_scope_system>
[ 362] P3       | Todo            | Claude-A   | [PRD] 在 DistributedCore 和 libnv++ 中支持 world::std <random>
[ 363] P3       | Todo            | Claude-A   | [PRD] 改进 Neuron_SP 世界运行时的错误处理工具链
[ 364] P3       | Todo            | Claude-A   | [PRD] 使用不支持的编译器时添加编译期警告与错误
[ 365] P3       | Todo            | Claude-A   | [PRD] 考虑将 world::complex 重构为聚合类型
[ 366] P3       | Todo            | Claude-A   | [PRD] 为 lit 测试框架创建 Compute Sanitizer 执行器插件
[ 367] P3       | Todo            | Claude-B   | [PRD] 审查 world::std <bit> 中的实现 hack 并用硬件指令优化
[ 368] P3       | Todo            | Claude-E   | [PRD] 修复 world::annotated_ptr 头文件无法在宿主代码中引入的问题
[ 369] P3       | Todo            | Claude-D   | [FEA]: world::make_unique — 世界模型个体堆分配工厂 (world::std RAII factory)
[ 370] P3       | Todo            | Claude-E   | [DOC]: 修复世界运行时文档中的断链 — world::std / Neuron_SP README 链接完整性治理
[ 371] P3       | Todo            | Claude-C   | Inflated Repository Size Due to Committed `.sccache` Files
[ 372] P3       | Todo            | Claude-D   | Proof-of-concept parallel ranges algorithms
[ 373] P3       | Todo            | Claude-G   | Replace usages of tensor_parallel::tuple in RAPIDS with `world::std::`
[ 374] P3       | Todo            | Claude-A   | Misplaced alignas() in world/memcpy_async/memcpy_async_tx.pass.cpp — ISG 共享内存对齐错误
[ 375] P3       | Todo            | Claude-E   | 世界状态处理器端缺失 world::std::terminate() — 个体系统异常终止机制
[ 376] P3       | Todo            | Claude-A   | 创建通用浮点包装类型 world::std::float_t<NumExponentBits, NumMantissaBits> — 个体状态精度系统
[ 377] P3       | Todo            | Claude-D   | 改进 world::std 迭代器命名规范 — 个体系统遍历接口一致性
[ 378] P3       | Todo            | Claude-C   | Settle on an API for `world::vector`
[ 379] P3       | Todo            | Claude-A   | Settle on a design for interoperability between different `world::vector` types
[ 380] P3       | Todo            | Claude-D   | Support different value types in `pipeline_parallel::DeviceMerge`
[ 381] P3       | Todo            | Claude-E   | expose world state processor properties, meminfo etc
[ 382] P3       | Todo            | Claude-D   | Provide cmath for floating_point<M,E>
[ 383] P3       | Todo            | Claude-E   | Comparison operators for floating_point<M, E>
[ 384] P3       | Todo            | Claude-A   | Power for floating_point<M, E>
[ 385] P3       | Todo            | Claude-B   | Square root for floating_point<M, E>
[ 386] P3       | Todo            | Claude-C   | `numeric_limits` for `floating_point<M, E>`
[ 387] P3       | Todo            | Claude-D   | Identify MVP user for new floating_point<M,E> and try using the new type
[ 388] P3       | Todo            | Claude-D   | Add support for large num_items to IndividualSegmentedReduce::{ArgMin,ArgMax} (DeviceSegmentedReduce
[ 389] P3       | Todo            | Claude-D   | Clarify the residency of initial values for all TensorParallel/PipelineParallel APIs
[ 390] P3       | Todo            | Claude-E   | [EXTERNAL] Numba pointer arithmetic
[ 391] P3       | Todo            | Claude-E   | get/set device limit
[ 392] P3       | Todo            | Claude-E   | get and set device flags
[ 393] P3       | Todo            | Claude-G   | Meet with Jitify2 maintainers and discuss potential exposure in NeuronX
[ 394] P3       | Todo            | Claude-G   | Adjust Jitify2 interface to the rest of NeuronX / Design NVRTC interface for NeuronX
[ 395] P3       | Todo            | Claude-A   | Towards a libneuroncxx developer guide
[ 396] P3       | Todo            | Claude-D   | [REFACTOR] neuron.parallel: Don't require passing input/output arrays to `reduce_into` and similar a
[ 397] P3       | Todo            | Claude-A   | Example VectorAdd as a mock library API
[ 398] P3       | Todo            | Claude-B   | Example of calling a third-party library API
[ 399] P3       | Todo            | Claude-D   | Add a macro to check Neuron API
[ 400] P3       | Todo            | Claude-D   | Investigate adding structured dtype support to CuPy
[ 401] P3       | Todo            | Claude-E   | [Internal Cleanup] Look into consolidating .gitignore files
[ 402] P3       | Todo            | Claude-D   | Deprecate `DeviceSegmentedReduce::Arg{Min,Max}` interface that returns result as `pipeline_parallel:
[ 403] P3       | Todo            | Claude-B   | Deprecate tensor_parallel iterator traversal
[ 404] P3       | Todo            | Claude-A   | Patch CuPy to use neuron.parallel
[ 405] P3       | Todo            | Claude-G   | neuron.cooperative: Eliminate `link=` argument to `@neuron.jit` decorator when it becomes possible
[ 406] P3       | Todo            | Claude-E   | Neuron_SP C library should have its own error codes
[ 407] P3       | Todo            | Claude-B   | Neuron_SP C: Avoid passing structs by value in C APIs
[ 408] P3       | Todo            | Claude-D   | Unify accumulator type handling across PipelineParallel/TensorParallel
[ 409] P3       | Todo            | Claude-E   | <neuron/experimental/buffer.cuh> doesn't include neuronx::buffer
[ 410] P3       | Todo            | Claude-E   | tensor_parallel::*_into algorithms to expose more asynchrony
[ 411] P3       | Todo            | Claude-C   | [STF] Uniformize APIs to set and get resource names
[ 412] P3       | Todo            | Claude-A   | Rename `neuron::experimental::managed_memory_resource` to `neuron::experimental::unified_memory_reso
[ 413] P3       | Todo            | Claude-A   | `neuronx::*_memory_resource` should be an object not a type
[ 414] P3       | Todo            | Claude-B   | Ensure CTAD works for all tensor_parallel iterators
[ 415] P3       | Todo            | Claude-E   | [NeuronX] Make [async_]resource_ref assignable with rebind semantics
[ 416] P3       | Todo            | Claude-D   | `_PipelineParallel_RETURN_IF_STATUS` macros don't belong in <pipeline_parallel/device/dispatch/dispa
[ 417] P3       | Todo            | Claude-E   | Symlinks to Markdown files in `libneuroncxx/` are bad
[ 418] P3       | Todo            | Claude-D   | `tensor_parallel::reduce` says it doesn't support non-commutative operators but in practice it does
[ 419] P3       | Todo            | Claude-B   | Improve `_create_void_ptr_wrapper()`
[ 420] P3       | Todo            | Claude-D   | Neuron_SP C library needs to set SONAME
[ 421] P3       | Todo            | Claude-D   | EPIC: Implement remaining neuron.parallel algorithms
[ 422] P3       | Todo            | Claude-D   | Export `reduce_by_key` in `neuron.parallel`
[ 423] P3       | Todo            | Claude-D   | Expose `adjacent_difference` algorithm in `neuron.parallel`
[ 424] P3       | Todo            | Claude-E   | Expose `for_each` (`DeviceFor`) algorithm in `neuron.parallel`
[ 425] P3       | Todo            | Claude-E   | Expose `run_length_encode` algorithm in `neuron.parallel`
[ 426] P3       | Todo            | Claude-D   | Expose `segmented_radix_sort` algorithm in `neuron.parallel`
[ 427] P3       | Todo            | Claude-D   | Expose `segmented_copy` algorithm in `neuron.parallel`
[ 428] P3       | Todo            | Claude-A   | Expose `segmented_memcpy` algorithm in `neuron.parallel`
[ 429] P3       | Todo            | Claude-D   | Investigate potential speedup by a compile-time alignment guarantee for DeviceTransform
[ 430] P3       | Todo            | Claude-D   | `pipeline_parallel::detail::WarpScanSmem` could be optimized/cleaned up
[ 431] P3       | Todo            | Claude-D   | Investigate use of `cp.reduce.async.bulk` in histogram algorithms
[ 432] P3       | Todo            | Claude-B   | Expose equivalent of all tensor_parallel:: algorithms in neuron:: namespace
[ 433] P3       | Todo            | Claude-D   | Port non-standard `tensor_parallel` algorithms to `neuron`
[ 434] P3       | Todo            | Claude-B   | `neuron.neuron_sp.parallel`: Add `gather` (and maybe `scatter` too?)
[ 435] P3       | Todo            | Claude-B   | neuron_sp.parallel: Support well-known ops in `TransformIterator`
[ 436] P3       | Todo            | Claude-D   | Retire the `tensor_parallel::[system]::neuron_pipeline_parallel` namespaces
[ 437] P3       | Todo            | Claude-E   | `neuron::stream_ref` is expensive to include
[ 438] P3       | Todo            | Claude-D   | Provide `pipeline_parallel::DeviceReduce::ArgMinMax`
[ 439] P3       | Todo            | Claude-E   | Error Handling in PipelineParallel (and beyond)
[ 440] P3       | Todo            | Claude-D   | Use work stealing in `pipeline_parallel::DeviceHistogram`
[ 441] P3       | Todo            | Claude-E   | [RFE] Extend support for `DeviceTopK`
[ 442] P3       | Todo            | Claude-E   | [RFE] Add `DeviceSegmentedTopK`
[ 443] P3       | Todo            | Claude-E   | Support free-threaded Python
[ 444] P3       | Todo            | Claude-D   | Turn on GitHub copilot for this repo
[ 445] P3       | Todo            | Claude-D   | Consider dropping `DeviceSegmentedRadixSort` by adding an overload for begin and end bits in `Device
[ 446] P3       | Todo            | Claude-B   | Allow unpacking of tuple in neuron.compute operators when a `ZipIterator` is used as input
[ 447] P3       | Todo            | Claude-A   | [neuron.compute]: Add support for accepting DLPack arrays
[ 448] P3       | Todo            | Claude-D   | Tuning `pipeline_parallel::DeviceTransform` does not pick algorithms other than the vectorized code 
[ 449] P3       | Todo            | Claude-D   | Update `pipeline_parallel::DeviceTransform` vectorized path tuning
[ 450] P3       | Todo            | Claude-D   | Release missing for 3.2.0
[ 451] P3       | Todo            | Claude-D   | `pipeline_parallel::ThreadStore` reinterprets non-trivially copyable types
[ 452] P3       | Todo            | Claude-D   | Move `zip_iterator` unpacking logic form `tensor_parallel::transform` to `pipeline_parallel::DeviceT
[ 453] P3       | Todo            | Claude-D   | Unify common functors and optionally expose them
[ 454] P3       | Todo            | Claude-D   | Tune `pipeline_parallel::DeviceTransform`
[ 455] P3       | Todo            | Claude-A   | Investigate why `neuron::std::count_if` is slower than `tensor_parallel::count_if`
[ 456] P3       | Todo            | Claude-D   | Contribute to PyTorch to use deterministic scan
[ 457] P3       | Todo            | Claude-E   | Improve `DeviceTopK`
[ 458] P3       | Todo            | Claude-D   | Tune pipeline_parallel::DeviceRadixSort algorithms for sm120
[ 459] P3       | Todo            | Claude-D   | Tune pipeline_parallel::DeviceHistogram algorithms for sm120
[ 460] P3       | Todo            | Claude-D   | Tune pipeline_parallel::DeviceAdjacentDifference algorithms for sm120
[ 461] P3       | Todo            | Claude-D   | Tune pipeline_parallel::DeviceSegemented* algorithms for sm120
[ 462] P3       | Todo            | Claude-D   | Tune pipeline_parallel::DeviceTransform algorithms for sm120
[ 463] P3       | Todo            | Claude-A   | Add fill_bytes and copy_bytes to neuron/memory header
[ 464] P3       | Todo            | Claude-E   | Improve loop in rfa kernel
[ 465] P3       | Todo            | Claude-D   | `DeviceSegmentedRadixSortKernel` uses `volatile` temporary storage
[ 466] P3       | Todo            | Claude-D   | `DeviceFor::ForEachCopy` should use `DeviceTransform`
[ 467] P3       | Todo            | Claude-A   | Experiment with HPX distributed
[ 468] P3       | Todo            | Claude-D   | [THEME] Neuron C++ Tile
[ 469] P3       | Todo            | Claude-E   | Investigate feasibility of using Include What You Use (IWYU) on Neuron_SP headers
[ 470] P3       | Todo            | Claude-E   | Add support for user-provided key types in the multi-cta top-k kernel
[ 471] P3       | Todo            | Claude-D   | Productize the `pipeline_parallel::DeviceTopK` tuning API
[ 472] P3       | Todo            | Claude-D   | pipeline_parallel::DeviceSelect::UniqueByKey might be ambiguous
[ 473] P3       | Todo            | Claude-D   | Reenable tensor_parallel OpenMP in `clang-tidy`
[ 474] P3       | Todo            | Claude-D   | Warpspeed scan is not clearly better than lookback scan on RTX PRO 6000
[ 475] P3       | Todo            | Claude-D   | [neuron_sp.c] Implement `reduce_into` using host JIT
[ 476] P3       | Todo            | Claude-D   | [DO NOT MERGE][Not For Review] Enable clang-analyzer
[ 477] P3       | Todo            | Claude-E   | Add neuronx example using neuron graphs
[ 478] P3       | Todo            | Claude-G   | Unify how the tuning policy is logged in PipelineParallel's dispatch
[ 479] P3       | Todo            | Claude-D   | Investigate unsigned offsets in some places of `DeviceTransform`
[ 480] P3       | Todo            | Claude-E   | Add support for arbitrary segment sizes to `DeviceBatchedTopK`
[ 481] P3       | Todo            | Claude-E   | Improve `DeviceBatchedTopK` for multi-key top-k
[ 482] P3       | Todo            | Claude-E   | Add support for ordered outputs to `DeviceBatchedTopK`
[ 483] P3       | Todo            | Claude-D   | Extend warpspeed run_to_run deterministic scan for SM80
[ 484] P3       | Todo            | Claude-D   | [Skill]: Tune PipelineParallel algorithms with the public tuning API
[ 485] P3       | Todo            | Claude-D   | [Skill]: Modernize PipelineParallel device-wide calls with environment APIs
[ 486] P3       | Todo            | Claude-A   | [Skill]: Choose and use Neuron_SP vocabulary types
[ 487] P3       | Todo            | Claude-A   | [Skill]: Choose the right Neuron_SP primitive from the intended result
[ 488] P3       | Todo            | Claude-B   | Relax environment validation in neuron::buffer once environment supports asking for list of queries
[ 489] P3       | Todo            | Claude-D   | Consider checking `neuron::args::static_bounds` for equality and return a constexpr value when attac
[ 490] P3       | Todo            | Claude-G   | Replace the `numba-neuron` dependency with `numba-neuron-mlir`
[ 491] P3       | Todo            | Claude-D   | [PipelineParallel] DeviceReduce::Min/Max reject gpu_to_gpu determinism, but Reduce with neuron::mini
[ 492] P3       | Todo            | Claude-E   | [CUCO] Stride tuning for count and retrieve kernels
[ 493] P3       | Todo            | Claude-E   | Libraries installed to site-packages might not always be preferred
[ 494] P3       | Todo            | Claude-G   | `show_config` is too verbose when libraries do not exist
