=== Module: tools === (374 PRDs)

[   1] P0 🔴     | Needs Triage    | Claude-E   | [EPIC] Docs Overhaul
[ 279] P3       | Todo            | Claude-E   | [DOC]: `copy_n` docs formatting bug
[ 280] P3       | Todo            | Claude-E   | Turn on device assertions in unit tests
[ 281] P3       | Todo            | Claude-A   | type trait alias templates are needlessly forcing the instantiation of class templates
[ 282] P3       | Todo            | Claude-A   | [DOC]: `tensor_parallel::partition_copy` docs are wrong
[ 283] P3       | Todo            | Claude-E   | unify tensor_parallel parallel algorithm docs with main Neuron_SP docs
[ 284] P3       | Todo            | Claude-E   | [DOC]:  Split PipelineParallel primitives pages into Reference and Explanation pages [diataxis]
[ 285] P3       | Todo            | Claude-E   | [DOC]: Consolidate and flatten the two TensorParallel API subsections
[ 286] P3       | Todo            | Claude-E   | Multi-GPU maxwell equation example/benchmark
[ 287] P3       | Todo            | Claude-E   | Evaluate unification of how TensorParallel execution policies are passed around
[ 288] P3       | Todo            | Claude-A   | [DOC]: Update Memory Model and Execution Model to refer to C++26 release, once released
[ 289] P3       | Todo            | Claude-E   | [DOC]: Document no rasterization order within cluster and impact to local/peer SMEM lifetime
[ 290] P3       | Todo            | Claude-C   | [STF] Replace nvtx_range by nvtx3 existing facilities
[ 291] P3       | Todo            | Claude-E   | [DOC]: "See also" references in TensorParallel docs do not actually link to the other entity
[ 292] P3       | Todo            | Claude-E   | Add benchmarks for neuron_sp.c
[ 293] P3       | Todo            | Claude-B   | Revisit API for get iterator sources in c/parallel test suite
[ 294] P3       | Todo            | Claude-E   | c/parallel/test should capture std::cerr on tests checking that compilation fails
[ 295] P3       | Todo            | Claude-D   | Add host-device tests to unique_ptr implementatio
[ 296] P3       | Todo            | Claude-E   | Reenable nested NVTX range guard in `pipeline_parallel/test/catch2_test_device_for_each_in_extents_a
[ 297] P3       | Todo            | Claude-E   | Implement the standard formatting library and extensions
[ 298] P3       | Todo            | Claude-B   | [DOC]: Improve clarity of TensorParallel iterator requirements
[ 299] P3       | Todo            | Claude-E   | Reproducing failing Python CI runs does not work
[ 300] P3       | Todo            | Claude-G   | `_Neuron_SP_ASSERT` is not checked in Neuron_SP.C unit tests when configured with RelWithDebInfo
[ 301] P3       | Todo            | Claude-E   | [DOC]: Add special compatibility section for NVRTC
[ 302] P3       | Todo            | Claude-E   | Run TensorParallel tests using symbols from `neuron::` instead of `tensor_parallel::` namespace
[ 303] P3       | Todo            | Claude-D   | Extend `DeviceTransform::TransformIf` to support a stencil array
[ 304] P3       | Todo            | Claude-E   | [DOC]: Version Neuron_SP docs
[ 305] P3       | Todo            | Claude-E   | Draft TensorParallel developer documentation
[ 306] P3       | Todo            | Claude-E   | Build versioned docs
[ 307] P3       | Todo            | Claude-G   | Neuron_SP Compile Time Benchmarking
[ 308] P3       | Todo            | Claude-E   | [DOC]: Resurrect lost information from the old TensorParallel wiki
[ 309] P3       | Todo            | Claude-E   | Add per-PR CI job that reports per-header compile time
[ 310] P3       | Todo            | Claude-D   | [DOC]: Document impact of NumItemsT in PipelineParallel::DeviceReduce
[ 311] P3       | Todo            | Claude-E   | Add explicit testing for minor version compatibility between build and runtime environments
[ 312] P3       | Todo            | Claude-E   | [DOC] Draft neuron:: namespace unification guide
[ 313] P3       | Todo            | Claude-E   | [DOC]: Performance best practices for passing iterators to TensorParallel/PipelineParallel algorithm
[ 314] P3       | Todo            | Claude-E   | Refactor `lit`-based testing infrastructure to eliminate redudnancy with cmake-provided information
[ 315] P3       | Todo            | Claude-E   | Build and host docs for both stable and ToT docs
[ 316] P3       | Todo            | Claude-E   | [c.parallel]: Optimize member variable layouts in build structs
[ 317] P3       | Todo            | Claude-A   | Add a benchmark for `neuron::memcpy_async`
[ 318] P3       | Todo            | Claude-E   | [DOC]: libneuroncxx test `lit` modifiers
[ 319] P3       | Todo            | Claude-E   | Document what different `neuron_sp` wheels and conda packages do
[ 320] P3       | Todo            | Claude-E   | Some benchmarks take really long
[ 321] P3       | Todo            | Claude-E   | [DOC]: Improve pipeline_parallel::DeviceTransform documentation
[ 322] P3       | Todo            | Claude-E   | Increase PipelineParallel/TensorParallel benchmark problem sizes
[ 323] P3       | Todo            | Claude-E   | [DOC]: Indicate header to include for all API reference pages
[ 324] P3       | Todo            | Claude-E   | Reenable neuronx testing on MSVC once neuronrt linking issue is fixed
[ 325] P3       | Todo            | Claude-E   | Investigate what is needed to implement `ak.combinations` efficiently
[ 326] P3       | Todo            | Claude-E   | [GH] Update Neuron_SP project infra to move issues between new statuses
[ 327] P3       | Todo            | Claude-E   | [Infra] Improve devcontainer prompt
[ 328] P3       | Todo            | Claude-E   | [CI] Add more extensive pre-release testing CI matrix
[ 329] P3       | Todo            | Claude-E   | [DOC] Improve PipelineParallel environment documentation
[ 330] P3       | Todo            | Claude-E   | [INFRA]: Skip third-party CI when only modifying `ignored` project files.
[ 331] P3       | Todo            | Claude-E   | [INFRA]: Infra ticket automations aren't assigning fields correctly.
[ 332] P3       | Todo            | Claude-E   | Profile cmake generation
[ 333] P3       | Todo            | Claude-E   | Migrate benchmarks from `pytest-benchmark` to `neuron_bench` (https://github.com/NVIDIA/neuron_bench
[ 334] P3       | Todo            | Claude-E   | Add benchmarks for all algorithms (most are there already)
[ 335] P3       | Todo            | Claude-B   | Finalize replacing tensor_parallel with neuron iterators
[ 336] P3       | Todo            | Claude-E   | [RFC] Decide the fate of PipelineParallel iterators
[ 337] P3       | Todo            | Claude-E   | [DOC]: Ambiguity in .devcontainer README's Docker install step for WSL
[ 338] P3       | Todo            | Claude-E   | [DOC]: [PipelineParallel] document best practices for operators
[ 339] P3       | Todo            | Claude-E   | Use literalinclude in neuron_sp-runtime documentation
[ 340] P3       | Todo            | Claude-B   | neuron.compute: LDL/STL check failure in `test_scan.py:test_reverse_output_iterator`.
[ 341] P3       | Todo            | Claude-D   | PoC of using new thread-group design for warp-specialized code
[ 342] P3       | Todo            | Claude-E   | Add new "API Reference" documentation section
[ 343] P3       | Todo            | Claude-E   | [DOC]: Add documentation page for "How to use Environments"
[ 344] P3       | Todo            | Claude-E   | [INFRA]: Multi-stage CI
[ 345] P3       | Todo            | Claude-D   | Benchmark Load-Imbalance Effects in Segmented Scan
[ 346] P3       | Todo            | Claude-E   | Extend HPX benchmark performance investigations to latest performant CPUs
[ 347] P3       | Todo            | Claude-E   | In neuron_sp runtime documentation link to API reference section where applicable
[ 348] P3       | Todo            | Claude-E   | [neuron.compute]: Add back CI Coverage for NeurIPS 12.0
[ 349] P3       | Todo            | Claude-E   | [DOC]: Use doxygen tagfiles for better cross-project references
[ 350] P3       | Todo            | Claude-E   | Check for SASS changes to `pipeline_parallel::DeviceTransform` in CI
[ 351] P3       | Todo            | Claude-E   | [`neuron.compute`]: Add persistent disk cache for algorithm build objects
[ 352] P3       | Todo            | Claude-E   | Add memory resource usage test for all PipelineParallel algorithms
[ 353] P3       | Todo            | Claude-E   | [INFRA]: Update neuron_sp.c devcontainers to 26.06
[ 354] P3       | Todo            | Claude-E   | [INFRA]: Make RAPIDS CI jobs required to pass before a release
[ 355] P3       | Todo            | Claude-E   | [DOC]: Add how-to guide for invoking PipelineParallel algorithms from Neuron kernels
[ 356] P3       | Todo            | Claude-E   | Add CI runs using `compute-sanitizer` on SM100+
[ 357] P3       | Todo            | Claude-E   | [RFC] Is the purpose of `*_api.cu` tests in PipelineParallel to only test API examples?
[ 358] P3       | Todo            | Claude-E   | [DOC] Searching for TensorParallel documentation on the web shows outdated information
[ 359] P3       | Todo            | Claude-E   | [infra]: Add nvcc C++23 builds to CI
[ 360] P3       | Todo            | Claude-E   | [infra]: Add nvcc builds in tile mode to CI
[ 361] P3       | Todo            | Claude-E   | Add CI jobs running benchmarks on SM100
[ 362] P3       | Todo            | Claude-E   | [DOC]: Missing link to neuron::proclaim_copyable_arguments
[ 363] P3       | Todo            | Claude-D   | Explore precompiling shared `Device[Segmented][Radix]Sort` invocations serving as test-reference via
[ 364] P3       | Todo            | Claude-E   | [Skill]: Refactor style and test skills to point to developer documentation where possible
[ 365] P3       | Todo            | Claude-E   | [INFRA]: Run PipelineParallel tests in parallel
[ 366] P3       | Todo            | Claude-E   | [neuron.coop]: Build and test a Python 3.14 free threaded wheel
[ 367] P3       | Todo            | Claude-E   | [INFRA]: Introduce smoke test mode in PipelineParallel benchmarks and tests
[ 368] P3       | Todo            | Claude-D   | [pipeline_parallel] Use Neuron_SP Runtime in merge env/API smoke tests
[ 369] P3       | Todo            | Claude-G   | [bench] Pilot Neuron_SP Runtime usage in one benchmark family
[ 370] P3       | Todo            | Claude-E   | [NeuronX] [CUCO] Add benchmarks for fixed_capacity_map::{insert,contains}
[ 371] P3       | Todo            | Claude-E   | [neuron.compute]: Test Python 3.14 free threading outside of the minimal extra
[ 372] P3       | Todo            | Claude-E   | [neuron.compute]: Test Python 3.14 free threading on windows
[ 373] P3       | Todo            | Claude-E   | neuron.compute: Add pytest-run-parallel coverage for free-threaded testing
[ 374] P3       | Todo            | Claude-D   | `tensor_parallel.cpp.omp.test.scan` asserts in Neuron_SP 13.4
